cluster,buyers,avg_age,avg_purchases,avg_total_value,avg_purchase_value,avg_floor_area,investment_rate,loan_rate,office_share,apartment_share,corporate_rate
0,267,54.73,3.57,1522893.36,430346.28,1402.78,30.0,36.0,35.0,65.0,0.0
1,47,64.3,7.4,2458260.65,335220.86,1109.84,34.0,32.0,13.0,87.0,2.0
2,334,58.84,3.58,1115628.61,312472.8,1032.61,31.0,0.0,34.0,66.0,0.0
3,102,48.25,3.61,1240325.73,345480.71,1145.1,34.0,42.0,15.0,85.0,100.0
4,444,55.26,3.54,1072969.59,303388.44,1011.84,0.0,35.0,0.0,100.0,0.0
5,336,58.3,3.54,1479222.27,421153.84,1387.75,18.0,33.0,0.0,100.0,0.0
6,251,55.8,3.46,1105239.57,319609.57,1063.83,100.0,38.0,0.0,100.0,0.0
7,219,56.16,3.7,1135318.22,308141.4,1022.83,32.0,100.0,32.0,68.0,0.0
